Repetition ID,Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE
9,RGB superposition,Fusion,0.976,0.787,0.06397655820689326,0.1804993074778959
10,RGB superposition,Fusion,0.974,0.822,0.06692533152700852,0.15398051824825112
1,Full,Universal,0.997,0.986,0.016495453919186342,0.03841874542459709
2,Full,Universal,0.997,0.972,0.016081044742180153,0.05140038910358559
3,Full,Universal,0.997,0.981,0.01692040188648012,0.041569219381653054
4,Full,Universal,0.997,0.98,0.016964669168598602,0.03840572873934304
5,Full,Universal,0.997,0.96,0.015776564898608316,0.051584881506115725
6,Full,Universal,0.997,0.981,0.016195678435928517,0.04537620521815371
7,Full,Universal,0.997,0.975,0.01667932852365466,0.04522167621838005
8,Full,Universal,0.997,0.96,0.016099689437998485,0.05419409561935691
9,Full,Universal,0.997,0.983,0.016401219466856725,0.03953479480154159
10,Full,Universal,0.997,0.986,0.015767054258801802,0.041665333311999314
1,Half,Universal,0.929,0.619,0.09506839643120105,0.19465353837010002
2,Half,Universal,0.931,0.482,0.09279008567729637,0.2645751311064591
3,Half,Universal,0.93,0.485,0.09379232377972091,0.25183327818221324
4,Half,Universal,0.932,0.409,0.09283318372220141,0.2525668228410058
5,Half,Universal,0.933,0.484,0.09145490692138941,0.259268200904006
6,Half,Universal,0.929,0.607,0.0934558719396486,0.25688518836242774
7,Half,Universal,0.929,0.684,0.09423375191511797,0.19282116066448723
8,Half,Universal,0.927,0.509,0.09603645141299214,0.21215560327269228
9,Half,Universal,0.927,0.659,0.09538343671728336,0.22081666603768837
10,Half,Universal,0.929,0.496,0.09430800602281866,0.255049014897137
1,Half fine-tuned,Universal,0.935,0.62,0.10459445491994306,0.23752894560453047
2,Half fine-tuned,Universal,0.934,0.55,0.1052140675005011,0.2689609637103496
3,Half fine-tuned,Universal,0.931,0.734,0.10733126291998991,0.21066561181170504
4,Half fine-tuned,Universal,0.933,0.53,0.10554619841567009,0.29216433731720237
5,Half fine-tuned,Universal,0.932,0.633,0.10686440005914037,0.24610973162392422
6,Half fine-tuned,Universal,0.935,0.696,0.10397114984456024,0.22915060549778174
7,Half fine-tuned,Universal,0.933,0.676,0.1066770828247567,0.20087309426600666
8,Half fine-tuned,Universal,0.935,0.691,0.10377861051295686,0.23484037131634755
9,Half fine-tuned,Universal,0.937,0.469,0.1016366075781753,0.32015621187164245
10,Half fine-tuned,Universal,0.934,0.598,0.1051189802081432,0.258185979479909
1,RGB superposition,Universal,0.958,0.72,0.08491171886141512,0.20476816158768432
2,RGB superposition,Universal,0.959,0.564,0.08419026071939675,0.25834086010540414
3,RGB superposition,Universal,0.955,0.718,0.08707468059085832,0.21004761364985797
4,RGB superposition,Universal,0.951,0.709,0.0911098238391448,0.21370540470470092
5,RGB superposition,Universal,0.955,0.627,0.0889719056781409,0.22671568097509268
6,RGB superposition,Universal,0.958,0.72,0.08491760712596652,0.20571825392998067
7,RGB superposition,Universal,0.952,0.697,0.0907028114227999,0.21974985779290052
8,RGB superposition,Universal,0.954,0.773,0.08748714191239762,0.190840247327444
9,RGB superposition,Universal,0.955,0.726,0.08620324819866129,0.21764650238402639
10,RGB superposition,Universal,0.954,0.607,0.08828929719960399,0.25049950099750695
1,Full,Linear regression,0.899,0.875,0.09453041838477179,0.11291589790636214
2,Full,Linear regression,0.896,0.902,0.09726253132630262,0.08994442728707544
3,Full,Linear regression,0.898,0.882,0.09600520819205591,0.10034938963441681
4,Full,Linear regression,0.902,0.793,0.0954044024141444,0.10700467279516349
5,Full,Linear regression,0.893,0.928,0.09813256340277675,0.0799937497558403
6,Full,Linear regression,0.897,0.893,0.09649870465451856,0.09601562372864116
7,Full,Linear regression,0.898,0.882,0.09638464608017192,0.09692264957170743
8,Full,Linear regression,0.896,0.89,0.09636389365317281,0.09951884243699782
9,Full,Linear regression,0.893,0.91,0.09583318840568751,0.10148891565092219
10,Full,Linear regression,0.9,0.843,0.09595832428716124,0.10178408519999578
1,Half,Linear regression,0.281,0.325,0.29824486584013477,0.3163858403911275
2,Half,Linear regression,0.329,-103.472,0.2892576705983784,3.7107950630558943
3,Half,Linear regression,0.29,0.222,0.2977079105432034,0.3232645975048923
4,Half,Linear regression,0.29,0.115,0.30004999583402764,0.2834960317182588
5,Half,Linear regression,0.292,0.157,0.2967153518104515,0.34044089061098404
6,Half,Linear regression,0.289,0.244,0.2965130688519479,0.34322004603461026
7,Half,Linear regression,0.286,0.291,0.2997999332888518,0.28597202660400195
8,Half,Linear regression,0.293,0.13,0.2984292210893565,0.31443600302764313
9,Half,Linear regression,0.298,-0.057,0.29854647879350377,0.3100483833210552
